 	Mean1	Mean2	Mean3	Mean4	Mean5	Mean6	Mean7	Mean8	Mean9	Mean10	Mean11	Mean12	Mean13	Mean14	Mean15	Mean16	Mean17	Mean18	Mean19	Mean20	Mean21	Mean22	Mean23	Mean24	Mean25	Mean26	Mean27	Mean28	Mean29	Mean30	Mean31	Mean32	Mean33	Mean34	Mean35	Mean36	Mean37	Mean38	Mean39	Mean40	Mean41	Mean42	Mean43	Mean44	Mean45	Mean46	Mean47	Mean48	Mean49	Mean50	Mean51	Mean52	Mean53	Mean54	Mean55	Mean56	Mean57	Mean58	Mean59	Mean60	Mean61	Mean62	Mean63	Mean64	Mean65	Mean66	Mean67	Mean68	Mean69	Mean70	Mean71	Mean72	Mean73	Mean74	Mean75	Mean76	Mean77	Mean78	Mean79	Mean80	Mean81	Mean82	Mean83	Mean84	Mean85
267	615.481	513.695	431.283	847.706	521.859	522.289	524.048	509.550	499.031	531.212	653.861	414.214	689.329	438.988	671.422	445.148	752.541	804.818	621.193	606.072	741.652	691.449	654.856	628.078	710.147	551.595	637.567	617.586	563.662	551.542	806.360	870.536	1831.516	496.392	663.708	702.653	637.913	548.184	481.327	522.205	562.155	927.325	725.940	670.926	849.143	667.276	458.890	680.851	731.464	640.201	602.964	683.792	502.510	405.803	839.664	772.577	597.559	859.576	2393.697	493.501	2113.022	456.037	918.571	649.827	1433.303	824.614	992.472	830.438	1290.690	1249.686	526.783	1510.944	311.456	360.109	358.192	465.790	527.175	852.622	624.443	654.804	473.809	581.143	880.271	785.748	541.414
268	531.775	509.796	373.850	877.298	529.995	547.411	569.807	535.004	536.874	469.805	668.695	433.305	631.620	418.597	744.865	465.966	721.167	763.018	594.537	608.685	782.154	730.313	691.854	650.269	753.091	551.395	646.510	659.040	523.205	514.834	750.023	941.061	1785.841	528.532	619.365	638.322	592.377	572.205	490.685	583.919	543.826	865.529	821.910	614.510	801.058	659.264	503.359	729.083	772.424	622.982	595.841	592.240	522.627	472.271	853.741	758.291	593.800	865.748	2203.817	540.991	2158.821	485.068	901.701	570.579	1723.622	751.176	910.200	839.765	1317.259	1193.748	565.150	1628.331	307.220	360.474	374.055	521.166	480.592	804.432	584.590	634.471	443.339	563.115	802.893	842.078	547.428
269	555.159	576.609	412.881	820.094	506.233	498.938	543.000	488.501	479.113	545.349	675.095	386.288	706.278	418.547	737.525	472.057	740.184	768.396	629.511	602.475	778.783	784.470	614.631	672.094	727.046	524.515	618.193	605.187	541.239	524.409	775.846	945.278	1841.799	497.095	650.362	670.510	617.765	567.212	490.047	544.505	581.667	1028.626	831.285	560.638	789.275	650.388	483.784	670.755	707.946	608.074	714.159	623.339	551.128	481.838	763.362	729.622	549.773	843.661	2346.279	551.078	2077.966	448.974	835.251	567.120	1334.769	699.216	939.606	823.171	1129.343	1121.514	667.433	1528.356	309.539	391.587	377.623	487.941	484.460	714.622	613.274	657.382	457.313	556.944	908.153	750.636	504.049
270	550.457	629.785	390.063	852.909	485.572	561.124	538.410	473.780	477.026	486.519	670.096	413.803	637.175	429.684	606.973	465.318	762.146	823.450	648.375	593.175	693.699	762.058	737.817	620.057	706.627	563.491	610.295	557.101	553.237	548.509	772.160	991.397	1697.820	548.175	610.104	679.810	558.552	610.879	497.188	558.020	562.408	891.488	753.353	612.046	825.693	631.203	460.357	665.755	606.062	641.653	741.351	633.015	561.209	457.169	697.689	763.939	599.714	869.485	2368.892	569.639	1953.643	500.430	865.071	623.940	1546.344	705.237	889.328	832.151	1204.559	1086.066	604.203	1525.002	315.239	368.079	370.693	499.024	478.469	711.955	595.287	681.931	497.833	594.860	756.350	798.565	544.139
271	543.643	594.643	401.803	768.151	555.759	577.540	583.267	576.711	499.763	481.868	717.571	418.998	698.895	440.299	674.838	491.448	672.119	738.019	649.750	571.126	735.293	664.658	653.399	650.912	693.673	551.392	657.097	519.135	611.169	528.358	806.119	863.165	1699.196	540.932	600.003	701.896	551.362	577.528	478.547	564.248	520.607	859.789	785.462	631.766	855.037	651.099	464.658	727.558	657.612	613.513	689.104	650.218	500.134	451.030	729.085	755.479	622.380	853.902	2347.697	520.025	2132.474	466.995	922.991	589.677	1407.466	716.618	995.209	795.968	1103.004	1099.834	594.778	1562.891	308.876	340.923	349.747	499.011	466.590	778.709	562.620	669.011	445.605	617.075	939.989	833.921	581.877
272	570.022	526.318	382.236	823.864	541.219	508.876	638.294	488.788	492.387	452.655	629.418	442.263	645.441	402.238	636.022	494.943	860.990	698.815	603.325	549.016	806.842	710.777	681.607	639.743	775.927	533.605	657.505	638.711	532.553	520.587	742.649	917.183	1599.186	521.080	630.044	698.596	633.897	596.230	540.620	480.650	589.733	938.398	816.258	625.318	851.573	616.734	485.450	669.455	679.923	677.550	668.337	594.760	491.397	511.542	656.286	792.589	518.678	894.359	2378.295	550.747	2104.944	478.141	785.361	648.572	1423.439	721.495	960.440	829.460	1293.212	1245.023	624.875	1544.062	321.261	342.067	358.113	468.832	485.507	786.000	579.112	629.391	497.126	586.030	901.888	770.484	505.901
273	621.901	503.596	413.915	859.595	537.345	521.688	483.913	499.561	549.701	446.481	630.359	401.516	641.879	400.383	640.868	455.523	767.322	796.614	612.272	568.217	745.838	702.353	668.111	645.908	715.548	585.914	607.763	597.991	542.060	552.455	711.938	926.047	1676.855	536.865	625.535	660.126	647.712	510.361	453.900	552.270	558.919	877.388	662.878	616.610	898.596	582.142	470.617	675.032	708.017	670.828	756.663	636.617	524.699	486.889	814.757	769.846	565.746	793.740	2291.756	536.361	2052.255	471.702	898.745	645.009	1439.714	639.665	916.587	936.620	1144.383	1253.332	604.453	1483.406	295.546	354.221	387.376	439.781	503.920	746.212	576.191	643.868	451.899	570.719	943.727	827.851	580.848
274	591.003	501.596	417.834	720.855	525.371	531.389	543.458	465.936	534.091	488.019	655.935	425.714	645.404	428.868	574.441	452.334	728.601	759.236	590.242	556.238	719.588	703.462	625.828	633.922	680.749	574.310	609.362	569.068	580.350	472.385	718.216	981.875	1480.820	513.723	653.569	657.434	572.035	551.804	494.427	574.385	574.961	856.495	798.916	638.160	795.360	736.693	451.660	679.089	742.116	601.608	621.504	613.807	502.925	473.644	742.581	718.370	579.969	868.319	2382.276	541.691	2098.864	487.805	865.890	601.995	1594.660	723.116	923.835	778.633	1169.613	1297.221	727.553	1547.554	328.598	354.273	384.700	466.351	498.372	783.970	626.302	661.272	441.123	593.673	660.421	802.853	566.874
275	570.852	504.126	429.326	707.345	478.253	525.069	553.823	500.385	554.024	489.897	601.060	443.366	742.338	447.466	631.912	493.506	727.228	832.689	531.830	559.294	720.844	724.590	607.195	603.129	703.158	554.967	601.393	556.372	548.901	478.526	723.671	932.160	1508.108	533.983	660.160	691.684	534.452	553.184	450.951	540.798	549.191	899.149	770.791	592.704	841.776	663.808	544.617	705.586	703.943	657.472	586.170	646.525	495.799	465.262	766.437	728.738	587.139	923.566	2378.472	532.560	2057.465	491.970	924.353	585.289	1479.918	699.223	1016.532	935.479	1116.230	1122.275	752.639	1582.448	301.757	374.445	357.822	481.984	529.106	654.165	585.685	666.036	455.730	580.005	868.374	784.354	558.671
276	612.076	488.433	434.094	821.555	483.845	602.014	651.130	464.598	530.419	459.448	625.809	411.192	625.228	405.636	553.268	432.793	784.004	748.928	645.587	523.272	775.201	681.057	657.798	707.177	683.008	560.647	607.146	557.304	575.572	571.001	739.900	920.156	1618.626	531.757	626.843	644.604	576.875	601.347	462.980	501.340	537.650	864.270	746.769	659.300	790.386	624.609	468.037	631.844	712.152	580.977	711.531	653.263	463.970	448.975	709.327	741.192	616.564	862.000	2223.061	559.730	2130.688	484.067	952.829	589.660	1300.714	657.289	927.817	683.112	1171.455	1031.932	514.878	1488.445	325.426	387.822	359.263	513.780	502.535	601.919	596.617	671.714	459.893	574.306	840.601	854.108	564.538
